recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score,source_export,conversionRate,launchDate,paymentStatus,paymentRiskLevel,commissionMin,commissionMax,cookieLength,parentSectors,averagePaymentTime,descriptionShort
do_not_prioritize_now,34.2,"Ningbo Ningshing Hench International Co., Ltd.",henncheelive.com,unknown,no,no,,Clothing,Clothing,100.00,0.21,0,no,yes,US,https://henncheelive.com,,no,no,no,no,not_probed,,84067,0.0,AWIN_AllClothingAdvertisers.csv,4.125,2025-07-29,green,none,0,0,30,Retail & Shopping,68,"Hennchee: All-season outdoor gear. Summer: Top-selling Tear-Resistant Bug Jackets, Cooling Vests Travel Hoodies. Winter: Pro Heated Apparel. High-converting on Google. Join us for year-round revenue!"
do_not_prioritize_now,34.0,Little Pajama Co.,littlepajamaco.com,unknown,no,no,,Clothing,Clothing,100.00,0.20,0,no,yes,US,https://littlepajamaco.com,,no,no,no,no,not_probed,,97435,0.0,AWIN_AllClothingAdvertisers.csv,2.05479,2025-07-30,green,none,0,0,60,Retail & Shopping,76,Bamboo Pajama Company.
do_not_prioritize_now,33.9,Heidi Merrick,heidimerrick.com,unknown,no,no,,Clothing,Clothing,61.29,0.33,35.9324,yes,no,US,https://www.heidimerrick.com,,no,no,no,no,not_probed,,88451,0.0,AWIN_AllClothingAdvertisers.csv,2.31898,2025-07-29,green,none,0,0,7,Retail & Shopping,71,Heidi Merrick Affiliate Programme Los Angeles based designer Heidi Merrick’s eponymous collection is quintessential California minimalism. The Heidi Merrick Collection is produced under the designer’s eye in her downtown Los Angeles
do_not_prioritize_now,33.8,Nyud Inc,nyudswim.com,unknown,no,no,,Clothing,Clothing,100.00,0.19,59.4532,no,yes,US,https://www.nyudswim.com,,no,no,no,no,not_probed,,57817,0.0,AWIN_AllClothingAdvertisers.csv,1.10132,2025-08-12,green,none,0,0,30,Retail & Shopping,48,
do_not_prioritize_now,33.8,Petit Lem,petitlem.com,unknown,no,no,,Clothing,Clothing,100.00,0.19,89.1699,no,yes,US,https://petitlem.com,,no,no,no,no,not_probed,,97901,0.0,AWIN_AllClothingAdvertisers.csv,6.81715,2025-06-05,green,none,0,0,30,Retail & Shopping,30,"Sustainable essentials and sleepwear for newborns, infants, toddlers and families (pets included!). Made with organically grown cotton. We are a family-run business that responsibly produces premium apparel for the whole family. Like family,"
do_not_prioritize_now,33.8,Love and Grow Clothing Co,loveandgrowclothing.com,unknown,no,no,,Clothing,Clothing,100.00,0.19,52.6373,no,yes,US,https://www.loveandgrowclothing.com,,no,no,no,no,not_probed,,49273,0.0,AWIN_AllClothingAdvertisers.csv,0.951173,2025-08-05,green,none,0,0,90,Retail & Shopping,72,Children's boutique clothing brand.
do_not_prioritize_now,33.8,Incerunmen,incerunmen.com,unknown,no,no,,Clothing,Clothing|Clothing Accessories,60.04,0.59,39.2825,no,yes,US,https://www.incerunmen.com,,no,no,no,no,not_probed,,70534,0.0,AWIN_AllClothingAdvertisers.csv,6.20656,2025-08-18,green,none,0,0,30,Retail & Shopping,71,INCERUNMEN AFFILIATE PROGRAM Welcome to the exclusive affiliate program
do_not_prioritize_now,33.6,VETCHY LLC,vetchy.com,unknown,no,no,,Clothing,Clothing,100.00,0.18,52.1387,no,yes,US,https://www.vetchy.com,,no,no,no,no,not_probed,,54727,0.0,AWIN_AllClothingAdvertisers.csv,0.454371,2025-07-15,green,none,0,0,30,Retail & Shopping,70,
do_not_prioritize_now,33.6,Henry Duvall Limited,henryduvall.com,unknown,no,no,,Clothing,Clothing,100.00,0.18,52.6027,no,yes,US,https://www.henryduvall.com,,no,no,no,no,not_probed,,96923,0.0,AWIN_AllClothingAdvertisers.csv,0.918133,2025-08-12,green,none,0,0,30,Retail & Shopping,70,"Henry Duvall is a celebration of the timeless spirit of boyhood. We believe that boys are curious and imaginative, playful and adventurous and oh so sweet. Henry Duvall reflects this character in every piece we create, embracing updated classics"
do_not_prioritize_now,33.6,BlueCut,bluecutaprons.com,unknown,no,no,,Clothing,Clothing,100.00,0.18,52.0472,no,yes,US,https://bluecutaprons.com,,no,no,no,no,not_probed,,95273,0.0,AWIN_AllClothingAdvertisers.csv,1.02875,2025-07-29,green,none,0,0,45,Retail & Shopping,72,"BlueCut is an LA-based premium designer line of aprons, chef gear, and bespoke uniforms. Chachi Prasad and Karam Kim, the Asian American husband & wife designers, bring years of experience in high-end ready-to-wear fashion to designing aprons, c"
do_not_prioritize_now,33.6,Curio,curiovibe.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Womenswear,92.86,1.35,58.4326,yes,no,US,https://www.curiovibe.com,,no,no,no,no,not_probed,,87367,-25.0,AWIN_AllClothingAdvertisers.csv,1.17813,2024-07-26,amber,exposurelevel4,0,0,30,Retail & Shopping,126,"CURIO Miami, Hamptons and online features fashion, jewelry, art, objects and experiences. We bring the luxury community together under one roof. We are a standalone boutique but also host complimentary pop ups with brands and retailers."
do_not_prioritize_now,33.4,My Face Socks,myfacesocks.com,unknown,no,no,,Clothing,Clothing,100.00,0.17,57.2961,no,yes,US,https://www.myfacesocks.com,,no,no,no,no,not_probed,,95199,0.0,AWIN_AllClothingAdvertisers.csv,6.27927,2025-05-21,green,none,0,0,90,Retail & Shopping,75,ABOUT US
do_not_prioritize_now,33.4,Nylora,nylora.com,unknown,no,no,,Clothing,Clothing,100.00,0.17,0,no,yes,US,https://www.nylora.com,,no,no,no,no,not_probed,,37664,0.0,AWIN_AllClothingAdvertisers.csv,0.990099,2025-08-13,amber,exposurelevel5,0,0,90,Retail & Shopping,63,"Started in 2018 by Carolyn Jang : Parsons-trained designer and peripatetic knitwear specialist, based between New York, LA, and Seoul. Across these cities, Carolyn saw a shared need for beautiful, well-made clothing that actually fit into the fa"
do_not_prioritize_now,33.4,tutto,tuttoknit.com,unknown,no,no,,Clothing,Clothing,100.00,0.17,52.4888,no,yes,US,https://tuttoknit.com,,no,no,no,no,not_probed,,110514,0.0,AWIN_AllClothingAdvertisers.csv,0.805182,2025-08-05,green,none,0,0,90,Retail & Shopping,72,
do_not_prioritize_now,33.4,TV Store Online,tvstoreonline.com,unknown,no,no,,Clothing,Clothing,99.75,0.17,54.0219,no,yes,US,https://www.tvstoreonline.com,,no,no,no,no,not_probed,,88137,0.0,AWIN_AllClothingAdvertisers.csv,3.11639,2025-06-10,green,none,0,0,1,Retail & Shopping,68,"All the hottest pop culture apparel, Halloween costumes and merchandise. If you audience loves movies, comic book, video games, music, and TV series then you've come to the right place"
do_not_prioritize_now,33.2,My Face Boxer,myfaceboxer.com,unknown,no,no,,Clothing,Clothing,100.00,0.16,59.1462,no,yes,US,https://www.myfaceboxer.com,,no,no,no,no,not_probed,,95939,0.0,AWIN_AllClothingAdvertisers.csv,7.46306,2025-07-24,green,none,0,0,30,Retail & Shopping,72,"MyFaceBoxer is one of the leading online custom clothing retailers, focusing on creating your own fashion apparel. Our products range from tops, bottoms, costumes to customized gifts. We focus on the design and production of customized products."
do_not_prioritize_now,33.2,Crazy Dog Tshirts,crazydogtshirts.com,unknown,no,no,,Clothing,Clothing,100.00,0.16,56.8813,no,yes,US,https://Www.crazydogtshirts.com,,no,no,no,no,not_probed,,76446,0.0,AWIN_AllClothingAdvertisers.csv,5.86519,2025-07-29,green,none,0,0,30,Retail & Shopping,70,Welcome to the Crazy Dog Tshirts Partner Program The Crazy Dog Tshirts team is passionate about our partnerships. Our approach to affiliate marketing is very simple – we seek to create value for you and your members!
do_not_prioritize_now,33.2,The Avenue,onlyontheavenue.com,unknown,no,no,,Clothing,Clothing,100.00,0.16,0,no,yes,US,https://onlyontheavenue.com,,no,no,no,no,not_probed,,91843,0.0,AWIN_AllClothingAdvertisers.csv,0.38518,2025-08-12,amber,exposurelevel5,0,0,30,Retail & Shopping,null,"The Avenue is a lifestyle brand and shop curated by Lyndsey Zorich offering unique product across homewares, gifts and fashion. The site focuses on content creation to showcase how the product would fit into shopper's lifestyle. The Avenue seeks"
do_not_prioritize_now,33.1,Venustas,venustas.com,unknown,no,no,,Clothing,Clothing,90.38,0.25,83.2585,no,yes,US,https://venustas.com/,,no,no,no,no,not_probed,,97555,0.0,AWIN_AllClothingAdvertisers.csv,3.8939,2025-08-11,green,none,0,0,30,Retail & Shopping,23,"Venustas is a global leader in heated apparel, offering premium jackets, vests, and hoodies trusted by millions worldwide. Join our affiliate program to earn competitive commissions promoting award-winning products."
do_not_prioritize_now,33.0,The Smocked Flamingo,thesmockedflamingo.com,unknown,no,no,,Clothing,Clothing,100.00,0.15,52.8388,no,yes,US,https://thesmockedflamingo.com,https://thesmockedflamingo.com/products/copy-of-embroidered-pumpkin-bow-socks | https://thesmockedflamingo.com/products/pre-order-french-knot-pumpkin-stone-gingham-bow-short-set | https://thesmockedflamingo.com/products/pre-order-french-knot-pumpkin-stone-gingham-short-set-1,no,no,no,no,home_ok,,64900,0.0,AWIN_AllClothingAdvertisers.csv,1.82412,2025-07-17,green,none,0,0,90,Retail & Shopping,72,"The owners of The Smocked Flamingo, Melanie and Hayley, are a Mother-Daughter duo from central Kentucky. Our love for classic, smocked clothing runs deep and we were inspired when our sweet Ellie came along to start this awesome adventure! Our h"
do_not_prioritize_now,33.0,Smock London Ltd,smocklondon.com,unknown,no,no,,Clothing,Clothing,100.00,0.15,52.2258,no,yes,US,https://www.smocklondon.com,,no,no,no,no,not_probed,,45425,0.0,AWIN_AllClothingAdvertisers.csv,0.544091,2025-08-12,green,none,0,0,90,Retail & Shopping,71,"Smock London is the artisan fashion brand on a mission to modernise the beautiful art of hand smocking for the 21st century girl. With its joyful rainbow palette, feminist spirit and ethical approach to craftsmanship, the brand breathes new life"
do_not_prioritize_now,33.0,A. PUTNAM,aputnam.com,unknown,no,no,,Clothing,Clothing,100.00,0.15,52.0186,no,yes,US,https://www.aputnam.com,,no,no,no,no,not_probed,,52143,0.0,AWIN_AllClothingAdvertisers.csv,0.337458,2025-08-12,green,none,0,0,60,Retail & Shopping,67,
do_not_prioritize_now,32.8,By The Namesake,bythenamesake.com,unknown,no,no,,Clothing,Clothing,100.00,0.14,0,no,yes,US,https://www.bythenamesake.com,,no,no,no,no,not_probed,,65300,0.0,AWIN_AllClothingAdvertisers.csv,0.173611,2025-08-05,green,none,0,0,30,Retail & Shopping,null,
do_not_prioritize_now,32.8,Casasola (US),casasola.com,unknown,no,no,,Clothing,Clothing|Clothing Accessories,100.00,0.14,0,no,yes,US,https://casasola.com/,,no,no,no,no,not_probed,,115176,0.0,AWIN_AllClothingAdvertisers.csv,0.205339,2025-05-20,amber,exposurelevel4,0,0,30,Retail & Shopping,null,"Casasola is a luxury fashion house founded by Barbara Casasola, headquartered in Florence, Italy."
do_not_prioritize_now,32.8,techwear-x,techwear-x.com,unknown,no,no,,Clothing,Clothing|Clothing Accessories,100.00,0.14,53.9561,no,yes,US,https://techwear-x.com,,no,no,no,no,not_probed,,33409,0.0,AWIN_AllClothingAdvertisers.csv,2.94203,2025-05-22,green,none,0,0,1,Retail & Shopping,73,We have the best techwear/darkwear/warcore on the network at very affordable prices and free shipping!
do_not_prioritize_now,32.7,"Miseczki, LLC",miseczki.com,unknown,no,no,,Clothing,Clothing,85.37,0.28,40.105,no,yes,US,https://miseczki.com,,no,no,no,no,not_probed,,44805,0.0,AWIN_AllClothingAdvertisers.csv,1.66226,2025-07-30,green,none,0,0,30,Retail & Shopping,84,-We start at 5% commissions on all products purchased by visitors (excluding gift cards) who are referred to us by affiliates. Substantial opportunities to increase this amount over time for strong performers or initially for applicants with hig
do_not_prioritize_now,32.6,Young Days (US),youngdays.com,unknown,no,no,,Childrenswear,Childrenswear|Clothing,100.00,0.63,64.3276,no,no,US,https://youngdays.com/,,no,no,no,no,not_probed,,43975,0.0,AWIN_AllClothingAdvertisers.csv,9.93113,2023-02-16,green,none,0,0,30,Retail & Shopping,67,"Young Days is a children's wear brand that raises standards for sustainably designed and ethically produced infant and toddler clothing. Made completely with eco-friendly materials, the collection provides sustainable apparel they can live and play in."
do_not_prioritize_now,32.6,Queen of Sparkles,queenofsparkles.com,unknown,no,no,,Clothing,Clothing,100.00,0.13,51.302,no,yes,US,https://www.queenofsparkles.com,,no,no,no,no,not_probed,,42548,0.0,AWIN_AllClothingAdvertisers.csv,0.288948,2025-07-17,green,none,0,0,90,Retail & Shopping,72,
do_not_prioritize_now,32.6,Prep Sportswear,prepsportswear.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,100.00,0.88,61.7545,no,yes,US,https://www.prepsportswear.com/?utm_medium=textlink&utm_content=prepsportswear,,no,no,no,no,not_probed,,88591,-15.0,AWIN_AllClothingAdvertisers.csv,10.2609,2025-08-04,amber,exposurelevel5,0,0,30,Retail & Shopping,63,PREP SPORTSWEAR AFFILIATE PROGRAM The Prep Sportswear brand is an online marketplace offering personalized products connecting consumers to the inst
skip_existing_or_refresh_only,32.6,Retro Stage,retro-stage.com,unknown,unknown,no,,Clothing,Clothing,3.81,0.34,8.97092,yes,yes,US,https://retro-stage.com,,yes,yes,no,no,not_probed,,56461,0.0,AWIN_AllClothingAdvertisers.csv,1.2244,2025-08-18,green,none,0,0,30,Retail & Shopping,72,"Retro Stage is designed to provide customers with the top vintage clothing, shoes, and accessories, especially the trends in the 1950s and 1920s. We invite you to join us in this elegant and mysterious performance. ""Chic is a hope, a wish fo"
do_not_prioritize_now,32.5,Comme Si,commesi.com,unknown,no,no,,Clothing,Clothing,95.73,0.17,50.5841,no,yes,US,https://commesi.com,,no,no,no,no,not_probed,,52059,0.0,AWIN_AllClothingAdvertisers.csv,0.823445,2025-05-20,green,none,0,0,30,Retail & Shopping,29,"Comme Si is a collection of unisex socks and refined loungewear. Made in Italy using materials like Egyptian Cotton, Merino Wool, and Mongolian Cashmere, our socks are the perfect complement to a wardrobe."
do_not_prioritize_now,32.4,Siegelman Stable,siegelmanstable.com,unknown,no,no,,Clothing,Clothing,100.00,0.62,81.8791,no,no,US,https://siegelmanstable.com/,,no,no,no,no,not_probed,,124460,0.0,AWIN_AllClothingAdvertisers.csv,6.15079,2026-02-19,amber,exposurelevel4,0,0,30,Retail & Shopping,46,"Siegelman Stable is a New York-based luxury fashion brand that blends harness racing heritage with contemporary streetwear, known for limited-edition collaborations with iconic partners."
do_not_prioritize_now,32.2,JFN,justfashionnow.com,unknown,no,yes,general_womenswear,Clothing,Clothing,9.09,0.02,23.6571,no,yes,US,https://www.justfashionnow.com,,no,no,no,no,not_probed,,82645,20.0,AWIN_AllClothingAdvertisers.csv,0.230681,2025-08-12,green,none,0,0,30,Retail & Shopping,57,"JustFashionNow is an online fashion shopping platform featuring beautiful&cost-effective clothes. We believe fashion should be personal and diversified. Every female has her own style, we respect and appreciate the differences, with that id"
do_not_prioritize_now,32.2,The Park,theparkfashion.com,unknown,no,no,,Clothing,Clothing,100.00,0.11,61.6779,no,yes,US,https://theparkfashion.com,,no,no,no,no,not_probed,,102041,0.0,AWIN_AllClothingAdvertisers.csv,25.0671,2025-07-23,green,none,0,0,90,Retail & Shopping,73,"Welcome to The Park Fashion Affiliate Program. At The Park, we offer a curated collection of high-end, timeless pieces designed for the modern, sophisticated woman. Our affiliate program allows you to earn generous commissions by promoting our e"
do_not_prioritize_now,32.2,ANDREA IYAMAH,andreaiyamah.com,unknown,no,no,,Clothing,Clothing,100.00,0.11,51.8442,no,yes,US,https://www.andreaiyamah.com,,no,no,no,no,not_probed,,101091,0.0,AWIN_AllClothingAdvertisers.csv,0.166113,2025-07-17,green,none,0,0,30,Retail & Shopping,70,"Andrea Iyamah is a fashion brand inspired by ethnic cultures and nature. Known for its bold colors, modern femininity, and retro-classic silhouettes, with a commitment to quality, storytelling, and cultural celebration."
do_not_prioritize_now,32.2,Autumn Cashmere,autumncashmere.com,unknown,no,no,,Clothing,Clothing,100.00,0.11,52.1175,no,yes,US,https://www.autumncashmere.com,,no,no,no,no,not_probed,,92435,0.0,AWIN_AllClothingAdvertisers.csv,0.43956,2025-07-29,green,none,0,0,90,Retail & Shopping,72,"Our Philosophy At Autumn Cashmere, everything begins with the world’s most luxurious fibers. Founded in 1995, we have stood at the forefront of innovation and sophistication by crafting exceptional garments. We spin the world’s richest fibers i"
do_not_prioritize_now,32.2,RADMOR,radmorgolf.com,unknown,no,no,,Clothing,Clothing,100.00,0.11,53.8214,no,yes,US,https://radmorgolf.com,,no,no,no,no,not_probed,,78692,0.0,AWIN_AllClothingAdvertisers.csv,2.144,2025-07-17,green,none,0,0,90,Retail & Shopping,70,"Radmor Golf is a Seattle-based apparel brand redefining golf fashion with sustainable performance wear. Founded by former collegiate golfers, they craft premium polos, outerwear, and bottoms using eco-friendly fabrics—never virgin polyester."
do_not_prioritize_now,32.2,Rylee + Cru,ryleeandcru.com,unknown,no,no,,Childrenswear,Childrenswear|Clothing|Clothing Accessories,100.00,0.11,51.6814,no,yes,US,https://ryleeandcru.com,,no,no,no,no,not_probed,,60493,0.0,AWIN_AllClothingAdvertisers.csv,0.670768,2025-06-17,green,none,0,0,30,Retail & Shopping,70,"Welcome to the Rylee + Cru Affiliate program! Rylee + Cru merges art and imagination, offering unique clothing for the modern child and mom. Each collection is built off of high quality basics that have soft and well-loved qualities mat"
do_not_prioritize_now,32.0,Benaar La,benaarla.com,unknown,no,no,,Clothing,Clothing,100.00,0.10,51.2851,no,yes,US,https://www.benaarla.com,,no,no,no,no,not_probed,,62031,0.0,AWIN_AllClothingAdvertisers.csv,0.275147,2025-07-15,green,none,0,0,30,Retail & Shopping,71,
do_not_prioritize_now,32.0,ALL SANTAELLA,allsantaella.com,unknown,no,no,,Clothing,Clothing,100.00,0.10,0,no,yes,US,https://www.allsantaella.com,,no,no,no,no,not_probed,,96723,0.0,AWIN_AllClothingAdvertisers.csv,0.251889,2025-07-24,green,none,0,0,45,Retail & Shopping,null,ALL SANTAELLA Is a fashion forward leather company that specializes in the finest leather clothing and accessories. We design and curated products that make woman and man feel as good as they look without sacrificing comfort. 100% leather a
do_not_prioritize_now,32.0,Ash & Erie,ashanderie.com,unknown,no,no,,Clothing,Clothing,100.00,0.10,53.1348,no,yes,US,https://ashanderie.com,,no,no,no,no,not_probed,,90445,0.0,AWIN_AllClothingAdvertisers.csv,1.45838,2025-06-19,green,none,0,0,30,Retail & Shopping,71,
do_not_prioritize_now,32.0,Movemama Apparel,movemamaapparel.com,unknown,no,no,,Clothing,Clothing,100.00,0.10,52.1468,no,yes,US,https://movemamaapparel.com,,no,no,no,no,not_probed,,35267,0.0,AWIN_AllClothingAdvertisers.csv,1.13636,2025-08-12,green,none,0,0,45,Retail & Shopping,78,
do_not_prioritize_now,32.0,Harvest and Mill,harvestandmill.com,unknown,no,no,,Clothing,Clothing,100.00,0.10,51.9629,no,yes,US,https://www.harvestandmill.com,,no,no,no,no,not_probed,,92645,0.0,AWIN_AllClothingAdvertisers.csv,0.952896,2025-05-21,green,none,0,0,30,Retail & Shopping,72,"Harvest and Mill is the most sustainable clothing brand today! All of our clothing is made with US grown organic cotton, through our traceable 100% USA domestic supply chain, non-toxic, vegan and carbon neutral. Sustainable fashion at its best :)"
do_not_prioritize_now,31.8,KAFTKO / ODAY Inc.,kaftko.com,unknown,no,no,,Clothing,Clothing,100.00,0.09,72.7717,no,yes,US,https://www.kaftko.com,,no,no,no,no,not_probed,,95255,0.0,AWIN_AllClothingAdvertisers.csv,4.4289,2025-07-30,green,none,0,0,45,Retail & Shopping,42,"The kaftan life is something most people don't know they need. KAFTKO, maker of The Original Kaftan, is a fashion fluid loungewear and lifestyle brand reinventing the kaftan for all your joyful moments from home to beach and everything in betwee"
do_not_prioritize_now,31.8,Pissenlit,shoppissenlit.com,unknown,no,no,,Clothing,Clothing,100.00,0.09,0,no,yes,US,https://www.shoppissenlit.com,,no,no,no,no,not_probed,,107319,0.0,AWIN_AllClothingAdvertisers.csv,0.3125,2025-07-29,green,none,0,0,90,Retail & Shopping,79,"Introduction: Pissenlit is a luxury cashmere outerwear brand offering premium, timeless pieces at affordable prices. Our collection is crafted from the finest quality cashmere, making it both a staple for your wardrobe and a meaningful"
do_not_prioritize_now,31.8,Daniella Kallmeyer LLC,kallmeyer.nyc,unknown,no,no,,Clothing,Clothing,100.00,0.09,51.3195,no,yes,US,https://www.kallmeyer.nyc,,no,no,no,no,not_probed,,38382,0.0,AWIN_AllClothingAdvertisers.csv,0.3108,2025-07-30,amber,exposurelevel5,0,0,60,Retail & Shopping,76,"Kallmeyer is a New York based RTW and accessories brand which reimagines everyday staples as an elevated and refined modular wardrobe for modern, empowered womxn. Each piece offers unique versatility which is polished yet unprecious, through im"
do_not_prioritize_now,31.8,Shop Talulah,shoptalulah.com,unknown,no,no,,Clothing,Clothing,100.00,0.09,51.9486,no,yes,US,https://www.shoptalulah.com,,no,no,no,no,not_probed,,36482,0.0,AWIN_AllClothingAdvertisers.csv,0.939434,2025-07-23,green,none,0,0,90,Retail & Shopping,70,
do_not_prioritize_now,31.8,tyler boe,tylerboe.com,unknown,no,no,,Clothing,Clothing,100.00,0.09,69.3222,no,yes,US,https://tylerboe.com,,no,no,no,no,not_probed,,91397,0.0,AWIN_AllClothingAdvertisers.csv,0.312872,2025-07-29,green,none,0,0,30,Retail & Shopping,43,Classic designs for today's lifestyle.
do_not_prioritize_now,31.8,WoolandPrince,woolandprince.com,unknown,no,no,,Clothing,Clothing,97.89,0.11,44.5647,no,yes,US,https://woolandprince.com,,no,no,no,no,not_probed,,90509,0.0,AWIN_AllClothingAdvertisers.csv,0.501035,2025-07-15,green,none,0,0,14,Retail & Shopping,91,"Wool&Prince is founded on the idea that guys get more out of life when they have fewer things. That’s why we’re bringing the time-tested benefits of merino wool to everyday garments. Our vision is to own less, own better, and get to the things w"
do_not_prioritize_now,31.6,"Tomorrows Laundry, Co.",tomorrowslaundry.co,unknown,no,no,,Clothing,Clothing,100.00,0.08,0,no,yes,US,https://tomorrowslaundry.co,,no,no,no,no,not_probed,,70546,0.0,AWIN_AllClothingAdvertisers.csv,4.85566,2025-07-24,amber,exposurelevel5,0,0,30,Retail & Shopping,null,
do_not_prioritize_now,31.6,CLYQUE,clyquethelabel.com,unknown,no,no,,Clothing,Clothing,100.00,0.08,51.2625,no,yes,US,https://www.clyquethelabel.com,,no,no,no,no,not_probed,,80985,0.0,AWIN_AllClothingAdvertisers.csv,0.254914,2025-08-12,green,none,0,0,30,Retail & Shopping,72,"CLYQUE is a collection of elevated basic bodysuits, dresses + more. Made in all black, white, and neutral shades of nude, these core pieces are meant to keep your wardrobe sleek and filled with essential go to styles that come through in the clu"
do_not_prioritize_now,31.6,MeMe's,memesperry.com,unknown,no,no,,Clothing,Clothing,100.00,0.08,0,no,yes,US,https://www.memesperry.com,,no,no,no,no,not_probed,,64956,0.0,AWIN_AllClothingAdvertisers.csv,1.33333,2025-07-30,green,none,0,0,90,Retail & Shopping,77,TBD
do_not_prioritize_now,31.6,Floatley LLC,floatley.com,unknown,no,no,,Clothing,Clothing,100.00,0.08,51.6063,no,yes,US,https://www.floatley.com,,no,no,no,no,not_probed,,93847,0.0,AWIN_AllClothingAdvertisers.csv,0.598789,2025-07-30,green,none,0,0,30,Retail & Shopping,74,Floatley is dedicated to designing feel-good basics that are beyond comfortable. We innovate to create essentials that help you live on cloud nine. We offer up to 15% commission of our average sale which is $100 and over.
do_not_prioritize_now,31.6,My Photo Socks,myphotosocks.com,unknown,no,no,,Clothing,Clothing,100.00,0.08,54.7114,no,yes,US,https://www.myphotosocks.com,,no,no,no,no,not_probed,,95941,0.0,AWIN_AllClothingAdvertisers.csv,3.70317,2025-05-22,green,none,0,0,90,Retail & Shopping,71,"Welcome to My Photo Socks, the home of creative, unique and high quality personalized gifts. We are a company you can rely on, and we want to become a familiar face at our customer's side, at the heart of every important occasion. Browse our"
do_not_prioritize_now,31.6,Argent,argentwork.com,unknown,no,no,,Clothing,Clothing,82.80,0.25,43.6116,no,yes,US,https://argentwork.com,,no,no,no,no,not_probed,,97515,0.0,AWIN_AllClothingAdvertisers.csv,0.328536,2025-08-05,green,none,0,0,30,Retail & Shopping,71,"Through confident clothes and an inspiring community, Argent is creating a movement that’s all about self expression in and out of the workplace, versatility as a power move, and radical equality when it comes to paychecks, pockets, and everythi"
do_not_prioritize_now,31.6,Emme Parsons,emmeparsons.com,unknown,no,yes,general_womenswear,Clothing Accessories,Clothing Accessories|Shoes|Womenswear,24.00,0.09,37.5615,yes,yes,US,https://www.emmeparsons.com,,no,no,no,no,not_probed,,96831,0.0,AWIN_AllClothingAdvertisers.csv,0.0862627,2025-07-23,green,none,0,0,30,,42,"Established in 2017, Emme Parsons is an American coastal brand grounded in European historicism. Known for its ultra-light interpretations of classic silhouettes each collection strives to create versatile, enduring pieces."
do_not_prioritize_now,31.5,Stylewe,stylewe.com,unknown,no,no,,Clothing,Clothing,15.25,0.17,26.8727,yes,yes,US,https://www.stylewe.com/?utm_source=Affiliate&utm_medium=shareasale&utm_term=03142&utm_content=shareasale&utm_campaign=!!userID!!,,no,no,no,no,not_probed,,89215,0.0,AWIN_AllClothingAdvertisers.csv,0.658761,2025-08-12,green,none,0,0,30,Retail & Shopping,52,"Hi Webmaster/Blogger, Welcome to join our affiliate program. We are a fast-growing online store working with 400+ independent designers worldwide, we only sell unique, original, high-quality fashion designs from independent designers. We hope"
do_not_prioritize_now,31.4,Simple Heart Co,simpleheartco.com,unknown,no,no,,Clothing,Clothing,100.00,0.07,52.8041,no,yes,US,https://www.simpleheartco.com,,no,no,no,no,not_probed,,96225,0.0,AWIN_AllClothingAdvertisers.csv,1.12994,2025-08-12,green,none,0,0,90,Retail & Shopping,69,"Simple Heart Co is owned and operated by a mom and nurse anesthetist in Southern California. This brand was born from a want and a need for cooler clothes for moms in all stages of motherhood. In the process, a tribe of cool moms that can bond"
do_not_prioritize_now,31.4,Sirdar Holdings Limited (The DMC Group),knitrowan.com,unknown,no,no,,Clothing,Clothing,100.00,0.07,0,no,yes,US,https://www.knitrowan.com,,no,no,no,no,not_probed,,101419,0.0,AWIN_AllClothingAdvertisers.csv,1.44875,2025-08-12,green,none,0,0,30,Retail & Shopping,54,"Welcome to Rowan, born in the hills of Yorkshire in 1978 and home to the most beautiful yarns and outstanding designs to inspire knitters and crocheters around."
do_not_prioritize_now,31.4,Black Paper Party (US),blackpaperparty.com,unknown,no,no,,Gifts & Flowers,Clothing|Clothing Accessories|DIY|Gifts & Flowers,100.00,0.07,0,no,yes,US,https://www.blackpaperparty.com/,,no,no,no,no,not_probed,,122962,0.0,AWIN_AllClothingAdvertisers.csv,6.53595,2025-12-19,amber,exposurelevel4,0,0,30,Retail & Shopping,92,"Black Paper Party is a modern gifting brand offering beautifully designed paper goods and décor that center culture, joy, and representation. Our thoughtfully designed collections elevate everyday moments and holiday celebrations."
do_not_prioritize_now,31.4,SpearmintLOVE,spearmintlove.com,unknown,no,no,,Clothing,Clothing,100.00,0.07,51.8967,no,yes,US,https://spearmintlove.com,,no,no,no,no,not_probed,,93305,0.0,AWIN_AllClothingAdvertisers.csv,0.890139,2025-06-19,green,none,0,0,30,Retail & Shopping,70,"share the LOVE with your community, link, and earn commission."
do_not_prioritize_now,31.4,Teggy French,teggyfrench.com,unknown,no,no,,Clothing,Clothing,100.00,0.07,52.4526,no,yes,US,https://www.teggyfrench.com,,no,no,no,no,not_probed,,93001,0.0,AWIN_AllClothingAdvertisers.csv,0.778643,2025-07-24,green,none,0,0,30,Retail & Shopping,65,dedicated to all those who care what I wear
